C02970	173,225
G13118	135,239
C19871	966,31
C20247	1209,41
C03785	483,222
C00463	985,335
C00110	255,35
C05382	855,31
C00157	336,184
C00189	264,219
C00114	282,195
C00195	300,303
C00187	215,561
C00280	280,606
C00156	313,707
C00227	612,448
C00259	783,141
C00006	1250,674
C00143	820,443
C00135	819,374
C00166	880,267
C00245	934,286
C00010	1162,442
C00032	1258,294
C00194	1241,420
C00144	1016,67
C00035	1037,67
C00255	1105,212
C00061	1105,229
C00016	1105,246
C00266	1276,157
C00250	1260,135
C00018	1234,135
C00143	1218,229
C00020	923,67
C00212	923,94
C00147	923,121
C00002	876,67
C00131	876,90
C00015	822,140
C00075	794,140
C00063	794,171
C00112	822,171
C00055	849,171
C00214	822,256
C00178	794,256
C00099	959,176
C00129	211,498
C00083	218,339
C00052	524,110
C01011	670,516
C00136	347,455
C00231	671,184
C00279	636,198
C00242	1016,121
C00268	1204,123
C00239	850,203
C00254	907,267
C00079	859,267
C00082	907,203
C00086	1165,519
C00011	1209,519
C00235	173,498
C00074	453,606
C00022	438,615
C00036	469,614
C00149	453,623
C00041	417,615
C00049	482,614
C00197	502,590
C00160	605,590
C00058	605,538
C00048	605,565
C00236	519,578
C00118	519,565
C00085	519,537
C00117	478,551
C00199	478,565
C00231	497,565
C00067	414,590
C00132	393,590
C00080	453,568
C00003	510,699
C00004	510,675
C00080	522,668
C00080	522,705
C00080	567,668
C00080	567,705
C00080	591,668
C00080	591,705
C00007	603,675
C00001	603,699
C00080	616,668
C00080	616,705
C00002	628,675
C00009	627,699
C00232	550,712
C00152	749,543
C00258	502,611
C00209	605,552
C00234	560,538
C00143	542,565
C00083	562,487
C00005	640,295
C00006	648,285
C00279	509,523
C00207	757,460
C00164	757,478
C00222	696,404
C00154	475,455
C00080	672,305
C00080	672,341
C00008	690,336
C00002	695,323
C00080	652,305
C00080	652,341
C00043	582,280
C00159	489,196
C00181	671,141
C00191	692,93
C00167	638,93
C00130	966,67
C00213	868,381
C00120	994,704
C00170	1088,600
C00148	1076,589
C00097	881,650
C00263	868,500
C00123	967,514
C00073	926,576
C00051	880,693
C00272	1187,123
C00219	201,207
C00246	347,501
C00206	901,90
C00008	901,67
C00039	838,212
C00217	954,650
C00224	838,299
C00084	653,404
C00258	668,354
C00198	692,106
C00119	750,217
C00117	707,217
C00168	502,625
C00116	418,184
C00093	456,194
C00046	858,115
C00105	849,140
C00262	966,121
C00381	234,35
C01246	320,24
C03862	273,133
G00006	291,126
G10595	291,143
G10596	306,132
G10597	306,104
G00007	306,70
G10598	320,63
G10599	320,79
G00008	320,97
C03021	320,137
C00621	334,132
G00009	334,79
G00171	344,7
G00012	344,48
G00013	344,62
G00014	344,80
G00015	344,104
G00019	327,104
G00020	359,114
G00021	359,125
G00022	359,142
G00016	344,114
G00017	344,125
G00018	344,142
G10694	361,36
G01813	361,48
G10841	361,62
G11040	361,75
G12625	378,48
G10611	486,36
C02189	474,48
G00023	449,36
G00035	449,73
G00024	428,36
G00025	402,36
G00026	428,13
G00027	401,13
G00030	435,25
G00031	449,7
G00033	435,13
G00034	463,47
G00154	474,69
G00147	474,144
C01290	163,81
G00036	106,81
G00037	41,81
G00046	21,81
G00044	41,104
G00047	41,62
G00048	41,45
G00042	21,104
G00043	21,141
G00045	41,141
G00039	61,104
G00040	61,141
G00050	106,104
G00056	106,147
G00060	135,92
G00066	135,104
G00067	135,124
G00077	135,150
G00078	135,167
G00052	121,124
G00058	82,166
G00059	82,186
G00062	89,104
G00063	72,104
